,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
1434824,1988,1,2,22,1,1988-02-22,WN,19393,WN,,991,12889,1288901,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,2120,2120,0,0,0,0,2100-2159,,,,,2315,2313,-2,0,0,-1,2300-2359,0,,0,55,53,,1,255,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342217,1988,4,12,30,5,1988-12-30,DL,19790,DL,,65,10397,1039702,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,1003,1003,0,0,0,0,1000-1059,,,,,1140,1137,-3,0,0,-1,1100-1159,0,,0,97,94,,1,595,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15408,1988,1,3,30,3,1988-03-30,US,20355,AL,,471,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1620,1626,6,6,0,0,1600-1659,,,,,1644,1649,5,5,0,0,1600-1659,0,,0,84,83,,1,412,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942716,1988,1,3,27,7,1988-03-27,UA,19977,UA,,154,14747,1474702,30559,SEA,"Seattle, WA",WA,53,Washington,93,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2345,2344,-1,0,0,-1,2300-2359,,,,,513,513,0,0,0,0,0001-0559,0,,0,208,209,,1,1721,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713283,1988,3,7,10,7,1988-07-10,US,20355,AL,,320,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,14307,1430701,30721,PVD,"Providence, RI",RI,44,Rhode Island,15,2100,2103,3,3,0,0,2100-2159,,,,,2159,2208,9,9,0,0,2100-2159,0,,0,59,65,,1,238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151444,1988,1,3,9,3,1988-03-09,AA,19805,AA,,126,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1200,1159,-1,0,0,-1,1200-1259,,,,,1618,1629,11,11,0,0,1600-1659,0,,0,198,210,,1,1440,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54276,1988,3,9,27,2,1988-09-27,AA,19805,AA,,1209,14492,1449201,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,14986,1498601,34986,SRQ,"Sarasota/Bradenton, FL",FL,12,Florida,33,1525,1523,-2,0,0,-1,1500-1559,,,,,1727,1711,-16,0,0,-2,1700-1759,0,,0,122,108,,1,625,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935865,1988,2,4,5,2,1988-04-05,WN,19393,WN,,725,13232,1323201,30977,MDW,"Chicago, IL",IL,17,Illinois,41,15016,1501601,31123,STL,"St. Louis, MO",MO,29,Missouri,64,1345,1345,0,0,0,0,1300-1359,,,,,1445,1450,5,5,0,0,1400-1459,0,,0,60,65,,1,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640767,1988,4,10,19,3,1988-10-19,US,20355,US,,2565,14679,1467901,33570,SAN,"San Diego, CA",CA,6,California,91,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,1040,1116,36,36,1,2,1000-1059,,,,,1208,1241,33,33,1,2,1200-1259,0,,0,88,85,,1,447,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935649,1988,3,8,31,3,1988-08-31,DL,19790,DL,,1826,14683,1468301,33214,SAT,"San Antonio, TX",TX,48,Texas,74,16440,1644001,30423,AUS,"Austin, TX",TX,48,Texas,74,2020,2020,0,0,0,0,2000-2059,,,,,2047,2049,2,2,0,0,2000-2059,0,,0,27,29,,1,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074542,1988,1,1,27,3,1988-01-27,PI,19822,PI,,944,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,15431,1543101,35431,UCA,"Utica/Rome, NY",NY,36,New York,22,1500,1457,-3,0,0,-1,1500-1559,,,,,1550,1559,9,9,0,0,1500-1559,0,,0,50,62,,1,191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675945,1988,3,8,29,1,1988-08-29,PI,19822,PI,,722,11057,1105702,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,11146,1114602,31146,CRW,"Charleston/Dunbar, WV",WV,54,West Virginia,39,1636,1634,-2,0,0,-1,1600-1659,,,,,1730,1734,4,4,0,0,1700-1759,0,,0,54,60,,1,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
